Time,LAT
0.553,35.64
0.554,28.63
0.555,16.61
0.556,7.626
0.557,4.626
0.558,-1.389
0.559,-4.389
0.560,-5.384
0.561,-11.38
0.562,-10.37
0.563,-13.37
0.564,-10.37
0.565,-12.38
0.566,-12.38
0.567,-12.38
0.568,-12.38
0.569,-10.37
0.570,-10.37
0.571,-8.384
0.572,-5.384
0.573,-5.384
0.574,-1.389
0.575,0.6316
0.576,-1.389
0.577,-2.384
0.578,-4.389
0.579,0.6316
0.580,4.626
0.581,-1.389
0.582,-11.38
0.583,-14.37
0.584,-10.37
0.585,-8.384
0.586,-4.389
0.587,-1.389
0.588,2.621
0.589,8.621
0.590,-0.3632
0.591,2.621
0.592,8.621
0.593,12.62
0.594,14.62
0.595,18.63
0.596,26.62
0.597,22.63
0.598,19.63
0.599,14.62
0.600,13.61
0.601,5.621
0.602,1.626
0.603,-0.3632
0.604,-8.384
0.605,-12.38
0.606,-21.38
0.607,-24.38
0.608,-28.37
0.609,-26.38
0.610,-20.38
0.611,-13.37
0.612,-6.379
0.613,0.6316
0.614,-0.3632
0.615,3.632
0.616,0.6316
0.617,-7.374
0.618,-11.38
0.619,-8.384
0.620,-14.37
0.621,-10.37
0.622,-2.384
0.623,8.621
0.624,32.62
0.625,42.63
0.626,45.62
0.627,43.63
0.628,34.61
0.629,16.61
0.630,6.632
0.631,-2.384
0.632,-6.379
0.633,-10.37
0.634,-9.379
0.635,-13.37
0.636,-15.38
0.637,-13.37
0.638,-16.37
0.639,-15.38
0.640,-9.379
0.641,-9.379
0.642,-7.374
0.643,-6.379
0.644,-4.389
0.645,-5.384
0.646,-3.379
0.647,0.6316
0.648,-3.379
0.649,-1.389
0.650,-4.389
0.651,-3.379
0.652,-1.389
0.653,-0.3632
0.654,0.6316
0.655,0.6316
0.656,1.626
0.657,0.6316
0.658,0.6316
0.659,0.6316
0.660,-1.389
0.661,-2.384
0.662,1.626
0.663,-1.389
0.664,0.6316
0.665,0.6316
0.666,0.6316
0.667,-0.3632
0.668,-3.379
0.669,1.626
0.670,-0.3632
0.671,-3.379
0.672,-3.379
0.673,-9.379
0.674,-9.379
0.675,-11.38
0.676,-17.37
0.677,-23.38
0.678,-25.37
0.679,-29.38
0.680,-19.39
0.681,-7.374
0.682,0.6316
0.683,0.6316
0.684,-3.379
0.685,-12.38
0.686,-44.38
0.687,-63.38
0.688,-53.37
0.689,-29.38
0.690,-3.379
0.691,14.62
0.692,19.63
0.693,18.63
0.694,-39.38
0.695,-64.37
0.696,-32.37
0.697,5.621
0.698,24.63
0.699,-77.38
0.700,-229.4
0.701,-291.4
0.702,-203.4
0.703,-136.4
0.704,-46.37
0.705,7.626
0.706,-81.38
0.707,-27.38
0.708,44.62
0.709,44.62
0.710,-28.37
0.711,90.63
0.712,216.6
0.713,264.6
0.714,302.6
0.715,340.6
0.716,280.6
0.717,142.6
0.718,-34.37
0.719,-246.4
0.720,-164.4
0.721,-28.37
0.722,34.61
0.723,21.63
0.724,13.61
0.725,55.63
0.726,155.6
0.727,227.6
0.728,121.6
0.729,78.63
0.730,110.6
0.731,211.6
0.732,232.6
0.733,237.6
0.734,111.6
0.735,-67.37
0.736,-139.4
0.737,-152.4
0.738,-104.4
0.739,-91.39
0.740,-55.39
0.741,-240.4
0.742,-296.4
0.743,-185.4
0.744,-13.37
0.745,-24.38
0.746,-37.39
0.747,16.61
0.748,83.62
0.749,126.6
0.750,180.6
0.751,143.6
0.752,8.621
0.753,-96.38
0.754,-81.38
0.755,-43.37
0.756,-9.379
0.757,10.63
0.758,14.62
0.759,95.62
0.760,50.62
0.761,5.621
0.762,-80.38
0.763,-115.4
0.764,-61.37
0.765,16.61
0.766,59.62
0.767,24.63
0.768,-6.379
0.769,0.6316
0.770,19.63
0.771,86.62
0.772,147.6
0.773,156.6
0.774,126.6
0.775,91.63
0.776,49.61
0.777,13.61
0.778,-1.389
0.779,-29.38
0.780,-3.379
0.781,-3.379
0.782,-23.38
0.783,-61.37
0.784,-119.4
0.785,-198.4
0.786,-238.4
0.787,-217.4
0.788,-178.4
0.789,-164.4
0.790,-169.4
0.791,-158.4
0.792,-172.4
0.793,-156.4
0.794,-127.4
0.795,-100.4
0.796,-101.4
0.797,-34.37
0.798,32.62
0.799,112.6
0.800,191.6
0.801,237.6
0.802,259.6
0.803,231.6
0.804,207.6
0.805,160.6
0.806,67.61
0.807,12.62
0.808,-18.36
0.809,-63.38
0.810,-35.37
0.811,-22.39
0.812,14.62
0.813,26.62
0.814,28.63
0.815,49.61
0.816,16.61
0.817,-119.4
0.818,-325.4
0.819,-284.4
0.820,-185.4
0.821,-59.38
0.822,92.62
0.823,224.6
0.824,245.6
0.825,188.6
0.826,132.6
0.827,143.6
0.828,172.6
0.829,126.6
0.830,149.6
0.831,120.6
0.832,8.621
0.833,-15.38
0.834,-64.37
0.835,-96.38
0.836,-93.38
0.837,-92.38
0.838,-61.37
0.839,-51.38
0.840,-71.37
0.841,-85.37
0.842,-178.4
0.843,-196.4
0.844,-146.4
0.845,-107.4
0.846,-204.4
0.847,-215.4
0.848,-112.4
0.849,-48.38
0.850,55.63
0.851,176.6
0.852,198.6
0.853,180.6
0.854,152.6
0.855,112.6
0.856,125.6
0.857,139.6
